logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000144485	-1.56207990697492	3.51545764868872	-8.24244153223498	8.36989128327465e-15	3.43817513093168e-13	23.0210958253515	HES6
ENSG00000167861	-1.01886137795633	4.86242987919067	-8.21407053825044	1.00997801837855e-14	4.05487471082351e-13	22.8370814486961	HID1
ENSG00000204991	-1.12726936009435	2.72204513392607	-7.93072048099057	6.46252238226463e-14	2.19118249891881e-12	21.0199375886658	SPIRE2
ENSG00000085831	-1.12756709625999	4.21136111889494	-7.62055904738392	4.71779961802824e-13	1.36781138405597e-11	19.0755971445968	TTC39A
ENSG00000186919	-3.06296177330057	1.57708244547471	-7.56312217515088	6.78651821397221e-13	1.91910932450762e-11	18.7202354297651	ZACN
ENSG00000168350	-1.81103377688814	1.90180317489105	-7.33581474618828	2.80484950166582e-12	6.93640348244658e-11	17.3339670185804	DEGS2
ENSG00000105289	-1.05476517668434	4.3436871923891	-7.18265075572302	7.19009428890244e-12	1.66421257135308e-10	16.4150666279873	TJP3
ENSG00000188747	-1.03702203633787	2.07178114018288	-7.11101887497723	1.1118823307449e-11	2.47660365724823e-10	15.9897403360988	NOXA1
ENSG00000225556	-1.28343069459375	-0.853689192420233	-7.10930677123766	1.12348983313137e-11	2.49675781595208e-10	15.9796093757467	C2CD4D
ENSG00000125850	-1.07384716176816	3.01608897760311	-7.07271148482306	1.40219546540763e-11	3.06722398217866e-10	15.7634580192169	OVOL2
ENSG00000135119	-1.15556979870536	1.28952826063035	-6.83855324825655	5.68830877725125e-11	1.13255388634415e-09	14.3984012511068	RNFT2
ENSG00000205517	-1.03625637480293	3.97064281380934	-6.78910579816186	7.61550080766808e-11	1.47707407315328e-09	14.1141915820397	RGL3
ENSG00000166123	-1.05854940498389	3.85316160221011	-6.74693040497168	9.75659519670347e-11	1.85727498027393e-09	13.8729148329948	GPT2
ENSG00000116299	-1.8778247000367	3.51593850173152	-6.70548864696054	1.2439099796315e-10	2.32705383725502e-09	13.6364494244834	ELAPOR1
ENSG00000143882	-1.46055306413832	1.22533729715175	-6.68854251070627	1.37254164457608e-10	2.54572552936963e-09	13.5406279965414	ATP6V1C2
ENSG00000187486	-1.36344012454863	0.657894011747082	-6.65150771121581	1.70254771713111e-10	3.10430036292874e-09	13.3309156783771	KCNJ11
ENSG00000213213	-1.27186787589717	0.17157308533463	-6.57483099493655	2.65293495938125e-10	4.67682819772774e-09	12.8993501019897	CCDC183
ENSG00000070985	-2.32819232750025	-4.85666798772373	-6.57480276316267	2.65336655129388e-10	4.67682819772774e-09	12.8991918578365	TRPM5
ENSG00000162482	-2.04344711171324	0.99777478488716	-6.55921751508	2.90246258439764e-10	5.0700850444733e-09	12.8119076854801	AKR7A3
ENSG00000177685	-1.069514634113	4.72250770424903	-6.55045699186005	3.05241841784163e-10	5.30354302483757e-09	12.7629098250586	CRACR2B
ENSG00000108515	-1.33404915139716	2.72175233982879	-6.53870676275812	3.26555207287458e-10	5.61387242695408e-09	12.6972639008099	ENO3
ENSG00000165188	-2.23166920045131	-0.514256185120623	-6.48720805832993	4.38537444603827e-10	7.3197113935927e-09	12.4105482636378	RNF183
ENSG00000185101	-1.00312541256994	3.75159621062257	-6.45818401140321	5.17453281217978e-10	8.5346985825234e-09	12.2496768406746	ANO9
ENSG00000130701	-1.11099198727126	0.715371883653696	-6.29142515768222	1.3258345594304e-09	2.01791606268378e-08	11.3355361855725	RBBP8NL
ENSG00000131910	-2.53655470483679	-0.402130008194552	-6.2654293369717	1.53293715894749e-09	2.31686056122258e-08	11.1946069653782	NR0B2
ENSG00000106927	-2.47933696018823	-0.284543227424125	-6.21765927532485	1.99933607829986e-09	2.94200946906386e-08	10.9367550218207	AMBP
ENSG00000139865	-1.26497185475212	0.231935437089494	-6.19214045772243	2.30282194555624e-09	3.34818642337507e-08	10.7996076621227	TTC6
ENSG00000167964	-1.14747313439535	0.976461894202335	-6.17004380175923	2.60172984752576e-09	3.74096925460004e-08	10.6811898386933	RAB26
ENSG00000165905	-1.17100328467611	3.95141058162646	-6.15635894345512	2.80556830795689e-09	4.00455368140855e-08	10.6080091112526	LARGE2
ENSG00000166415	-2.46712103412313	-0.976807481451361	-6.05711014940785	4.83140645952699e-09	6.57780168941851e-08	10.0808988679161	WDR72
ENSG00000165238	-1.39635800211585	1.49964409492218	-5.97374703915874	7.59016052654073e-09	9.95959732305734e-08	9.64313187019052	WNK2
ENSG00000163467	-1.22246501830651	0.0347318422256809	-5.91313663868818	1.05116841996962e-08	1.32239833723064e-07	9.32773005568327	TSACC
ENSG00000152292	-1.8862028704779	-2.05327221601945	-5.91033873346185	1.0670279925946e-08	1.33908472773235e-07	9.31322944339114	SH2D6
ENSG00000167037	-1.0709576330017	0.11382096044358	-5.87568441786261	1.28394023676372e-08	1.59061853331643e-07	9.13406123189071	SGSM1
ENSG00000164488	-2.39387064460223	-0.585718029501945	-5.85593295467598	1.42626573225472e-08	1.74917014253639e-07	9.03230299450883	DACT2
ENSG00000167971	-1.66649496664275	-2.93747088948638	-5.83144830192512	1.62421668056023e-08	1.96476849789779e-07	8.90652370585218	CASKIN1
ENSG00000167701	-1.28741412241249	-0.197209131268483	-5.82803455762771	1.65386503396034e-08	1.98953233924995e-07	8.88901915137178	GPT
ENSG00000132437	-2.16624903470204	-0.24808460692607	-5.64145030001874	4.39369114652902e-08	4.78135536258083e-07	7.94432968886135	DDC
